full:0.1,full:0.2,full:0.5,full:1.0,mix1:0.1,mix1:0.2,mix1:0.5,mix1:1.0,mix2:0.1,mix2:0.2,mix2:0.5,mix2:1.0,EXPP:,VARB:
0.0124049585091,0.00710282007066,0.00707728230178,0.00780520362367,0.0144697860953,0.0127270813548,0.013812206685,0.352959508044,0.00184810998207,0.00826001526587,0.0118864174524,0.365998162761,0.059729390239,0.0156497587378
0.00287017337681,0.00133071046687,0.00256540204338,0.00499630060264,0.00413028760535,0.00502910851472,0.00715180620011,0.028758674696,0.00379277055579,0.00491647628769,0.0175153776053,0.0294655165836,0.0252515880978,0.0228534160832
0.00167250963229,0.0353226680745,0.0333291222551,0.0347342175899,0.00259935046008,0.00848948986096,3.42606916084,0.0160941320111,3.57716174995,0.0338889056546,0.0361911846884,0.0167970397241,0.00871181136524,0.00754018097138
0.00315027984941,0.0143417396025,0.0220286985103,0.0324395972262,0.00461413490591,0.0187807761301,0.0342577854763,0.06029489212,0.00408026636778,0.0459550593166,0.0708718459354,0.0623970672334,0.0278554018468,0.0197001373252
0.00408709808686,0.00541949292341,0.00555417796834,0.00639494471437,0.00605749042441,0.0108822405314,0.0719167696082,0.0136687750711,0.027906209409,0.00679036133919,0.0110213990568,0.0142341555864,0.0074582287049,0.00668554326084
0.0747280771398,0.00552191128086,0.00589922036691,0.00701735780218,0.0727599255994,0.0146132201764,0.00638892262806,0.0189825585523,0.00229291724583,0.00727622840482,0.0125254319042,0.01966757939,0.0120383725342,0.0108025630895
0.000477942493819,0.00619943660435,0.00970080260797,0.0180735954835,0.00261164249771,0.00516840615921,0.0227825018463,0.0279569844284,0.0191938070465,0.0285635959523,0.0640972307008,0.0291083242114,0.0248730319921,0.0192742743139
0.00241780527262,0.00410299673668,0.00420070734244,0.0049033238706,0.00355132584618,0.00413662859917,0.00607719714548,0.139659680178,0.00177312742094,0.0053808066898,0.00921088012818,0.145116538702,0.0111328613358,0.00481195246915
0.000318362889345,0.0108401157971,0.0106003419405,0.0114629732388,0.00142943840012,0.00463981323179,0.00777140479152,0.0872260103221,0.00442023172557,0.0118668671893,0.0155267711792,0.090673176922,0.00548610134611,0.00229811162929
0.0215366593945,0.010580474418,0.0157923715265,0.0229823342039,0.0257531890348,1.98246237107,0.011865188404,0.0187708385183,0.00874882154201,0.0252893328292,0.0511168039083,0.0198475566614,0.00652170730791,0.00494096597023
0.000730888521864,0.0296889344723,0.0323868653258,0.0356529769877,0.00256963646518,0.00359574769584,0.800786248677,0.0160941320111,0.69974664725,0.041872847059,0.0615728376166,0.0167970397241,0.00871181136524,0.00754018097138
0.0299850641343,0.00709007178829,0.00730248111087,0.00843373144234,0.0448567916188,0.00791493542676,0.274424012887,0.0176824829404,0.246438986109,0.00925433349424,0.0129730211121,0.0185449337427,0.00812053256907,0.00631705607377
0.00572144001852,0.00117545063394,0.00186897661875,0.00315367066006,0.0182895655483,0.0132487283675,0.00777140479152,0.019848649838,0.00442023172557,0.00443889947416,0.0105805117167,0.0206843830842,0.0113079658111,0.0096383673714
0.00416039563959,0.00410299673668,0.00420070734244,0.0049033238706,0.00596892622661,0.00299309207808,0.00638892262806,0.0864476103732,0.00229291724583,0.0053808066898,0.00921088012818,0.0884817042975,0.0850129725065,0.068744829979
0.00756187727667,0.0774292498272,0.0870431212686,0.0962436867933,0.00963329898636,0.00647345525883,0.00922598131837,0.468937620218,0.00599371192916,0.188374644069,0.309042155216,0.466642804184,0.514800797902,0.587589008581
0.244978376712,0.00632759020246,0.00751629064262,0.00957658624517,0.20181150437,0.00538202743867,0.00908994026446,0.0146733251171,0.00489974651121,0.00812498228676,0.0177925302493,0.0152296203148,0.00838656001518,0.00762300668748
0.00756187727667,0.00175487907132,0.00437469014406,0.0095823629891,0.00963329898636,0.00807056923322,0.00638892262806,0.125995366466,0.00229291724583,0.0142374456029,0.0442479382697,0.131863113301,0.00237173638814,0.000313676214643
