full:0.001,full:0.004,full:0.02,full:0.04
3.38177123816,3.57417107477,2.03128498151,1.44413005664
2.32100241735,1.66083490207,1.77413975551,1.69602685525
2.1708293493,1.72689875319,1.30377560212,1.22335510804
2.4691839452,1.83635189488,1.34733670308,1.22974937512
2.27637746288,2.09104781701,2.06837955966,2.0144536133
3.21289911667,2.07862972571,1.48012869908,1.5640542443
4.17922951384,2.95410212233,1.67392598941,1.84288048102
2.47506565704,1.80879774048,1.4129680927,1.3609676893
2.42926367476,2.03536941959,1.61478065803,1.33596818997
2.36134935274,2.33806710794,1.82695662334,1.55374535276
4.03727599337,3.20885422929,1.96911098911,2.15443246915
3.62691664054,2.78880009904,1.50350552156,1.46382319285
2.73501149668,2.21519144728,1.47183971955,1.46800731971
2.42543690755,1.93685867741,2.1475651498,2.10343977167
2.5918805535,2.76752739876,2.05204173281,1.75971745803
4.66510423376,3.58202714576,1.9687270756,2.13557853653
2.52750679209,1.78976874902,1.30685245349,1.25949948384
2.47911197795,2.30884855344,1.4318962033,1.35429655864
3.1631583477,2.46937026932,5.01041089847,5.47469394757
3.49761132999,3.67297252371,2.25682760133,1.73662676766
3.11476176335,3.20431181147,2.17118468239,2.36731883987
2.22874479844,1.73501273348,1.45222216203,1.38206689908
2.42411389305,2.08193045213,1.45910363748,1.34873419358
2.75792783602,1.9871534939,2.21087952807,2.11523603751
3.44757325306,2.67361497237,1.95935257628,1.57283496215
2.64270303502,2.59272433176,2.07174071028,1.68222036316
2.16097178413,1.8026448126,1.32275181367,1.17063652827
2.5123541887,2.11406158759,1.42425983502,1.31878268077
2.70981972023,2.20100634648,2.01317324593,1.91723769261
4.05678124084,5.47142773225,2.47381581469,1.79109051182
2.73124384983,2.33394923164,1.73267167165,1.49228834464
2.28863977744,2.1233075793,1.61985724523,1.55812072112
2.30868905141,2.23663478448,1.3529204662,1.28708481147
2.12568723514,1.69216316297,1.19916575505,1.15937768771
2.52199433102,1.94526358797,1.89288999989,1.78961887314
2.35649310901,1.86623358085,1.37784152581,1.19962935998
2.1515252526,1.69732823326,1.32722192361,1.22798936917
2.20751824333,2.0384480293,1.29879664733,1.2418887551
3.10127603087,2.05974977567,1.63111870839,1.4271854098
2.97653189405,1.99343224718,1.92268776252,1.81481092527
2.96753690868,1.6981898482,1.40075355126,1.13272660329
2.43918755009,2.27235188438,1.40540617063,1.31665223195
2.17096643998,1.74401622369,1.2975283797,1.170396858
3.51475211336,2.01382305576,1.81937032296,1.41709470107
2.54051377728,1.97094225242,2.00491266801,1.66481708839
3.44960751488,1.7439046736,1.39362388208,1.30066620662
2.1570663388,1.75995340302,1.29698615625,1.17930363967
2.17194386675,1.74859165504,1.27569448306,1.1920005615
2.90702385931,1.85855635359,1.85023119404,1.4443451102
2.48543990507,2.12528055265,1.57763999059,1.49248182132
3.15315847202,1.83214774086,1.74334123089,1.71576305582
