full:0.1,full:0.2,full:0.5,full:1.0,mix1:0.1,mix1:0.2,mix1:0.5,mix1:1.0,mix2:0.1,mix2:0.2,mix2:0.5,mix2:1.0,GAUS:,WARP:
1.19699439469,1.19284053065,1.19070232929,1.191151164,1.18460869422,1.17025911366,1.17429067216,1.19788897282,1.18454547429,1.16937887935,1.17269327728,1.19621124215,1.74089942752,1.23502696212
1.46967565055,1.47093435932,1.47283345325,1.47296403253,1.43400148722,1.4269210157,1.40990503543,1.41151076266,1.43223152637,1.42602450841,1.40949233528,1.4114348115,2.32606631674,1.48466971781
1.72533790653,1.72313055647,1.71947949152,1.71720298818,1.70809232767,1.70266986589,1.70795783827,1.73437899323,1.71902826947,1.70186698574,1.706550193,1.73139596989,1.70061956707,1.69312464427
1.39857741537,1.39652790963,1.39219888816,1.39001658638,1.37799322868,1.37359284127,1.37112655571,1.38934795246,1.38127801042,1.37211117077,1.370194067,1.38674604171,1.65536455817,1.37626253454
1.23790311616,1.23619232153,1.2345989223,1.23371230621,1.23061532923,1.21767031692,1.21905419246,1.22761042611,1.22545253409,1.21685713533,1.21602603381,1.22488229293,1.66622115219,1.18772141404
1.92379700098,1.93637936579,1.93530460702,1.93550574108,1.92308274902,1.9164638492,1.89554897848,1.87912149553,1.91150188532,1.91384655627,1.89568335605,1.87435589953,1.81118581576,2.02852292005
1.38227733138,1.37798406639,1.37708203811,1.37340721308,1.36383753411,1.35186444709,1.3406653316,1.31874813975,1.36377738687,1.35507919389,1.3402183645,1.31871359984,2.01697140112,1.43468661925
1.20920998377,1.20803216835,1.20725810033,1.20531984087,1.18275690206,1.16596039489,1.17188811424,1.1957777958,1.1853660344,1.16521640707,1.17039245555,1.19293592091,1.75064082808,1.23752239209
1.74571466089,1.74339886076,1.74121422028,1.73735501593,1.71239360954,1.7033748673,1.70912858604,1.7333626362,1.72296374927,1.70177242977,1.70722689735,1.73045435156,1.67297045579,1.76369980352
1.60805634199,1.50349182473,1.48442202147,1.48487300652,1.45084820788,1.44137120204,1.47132470031,1.44287867901,1.60209984868,1.48408324295,1.45926751975,1.45188381965,2.16725695193,1.50580876924
