m,model_sp,v,x
0.433294305817,full:1.0,0.00730043189078,1851.27246301
0.434086646437,full:1.0,0.00721017075255,1851.40944932
0.434874230263,full:1.0,0.00712085574721,1851.54643562
0.435656924112,full:1.0,0.00703248976502,1851.68342192
0.43643459446,full:1.0,0.00694507556694,1851.82040822
0.437207107472,full:1.0,0.00685861577976,1851.95739452
0.437974329029,full:1.0,0.00677311289142,1852.09438082
0.438736124758,full:1.0,0.00668856924632,1852.23136712
0.439492360063,full:1.0,0.00660498704072,1852.36835342
0.440242900151,full:1.0,0.00652236831822,1852.50533973
0.440987610066,full:1.0,0.00644071496537,1852.64232603
0.441726354718,full:1.0,0.00636002870728,1852.77931233
0.442458998915,full:1.0,0.00628031110341,1852.91629863
0.443185407395,full:1.0,0.00620156354338,1853.05328493
0.443905444859,full:1.0,0.00612378724298,1853.19027123
0.444618975999,full:1.0,0.00604698324019,1853.32725753
0.445325865537,full:1.0,0.00597115239138,1853.46424384
0.446025978254,full:1.0,0.00589629536759,1853.60123014
0.446719179024,full:1.0,0.00582241265095,1853.73821644
0.447405332852,full:1.0,0.00574950453122,1853.87520274
0.448084304901,full:1.0,0.00567757110248,1854.01218904
0.448755960534,full:1.0,0.00560661225991,1854.14917534
0.449420165345,full:1.0,0.00553662769676,1854.28616164
0.450076785193,full:1.0,0.00546761690142,1854.42314795
0.450725686242,full:1.0,0.00539957915469,1854.56013425
0.451366734993,full:1.0,0.00533251352713,1854.69712055
0.451999798322,full:1.0,0.00526641887664,1854.83410685
0.452624743515,full:1.0,0.00520129384614,1854.97109315
0.453241438306,full:1.0,0.00513713686143,1855.10807945
0.453849750913,full:1.0,0.00507394612926,1855.24506575
0.454449550074,full:1.0,0.00501171963547,1855.38205205
0.455040705087,full:1.0,0.00495045514343,1855.51903836
0.455623085844,full:1.0,0.00489015019252,1855.65602466
0.456196562872,full:1.0,0.0048308020969,1855.79301096
0.456761007367,full:1.0,0.00477240794437,1855.92999726
0.457316291236,full:1.0,0.00471496459552,1856.06698356
0.457862287131,full:1.0,0.00465846868293,1856.20396986
0.45839886849,full:1.0,0.00460291661066,1856.34095616
0.458925909573,full:1.0,0.0045483045539,1856.47794247
0.459443285501,full:1.0,0.00449462845879,1856.61492877
0.459950872295,full:1.0,0.00444188404245,1856.75191507
0.460448546913,full:1.0,0.0043900667932,1856.88890137
0.460936187291,full:1.0,0.00433917197097,1857.02588767
0.461413672377,full:1.0,0.00428919460791,1857.16287397
0.461880882173,full:1.0,0.00424012950917,1857.29986027
0.46233769777,full:1.0,0.00419197125394,1857.43684658
0.462784001391,full:1.0,0.0041447141966,1857.57383288
0.463219676424,full:1.0,0.0040983524681,1857.71081918
0.463644607461,full:1.0,0.0040528799776,1857.84780548
0.464058680341,full:1.0,0.00400829041417,1857.98479178
0.464461782181,full:1.0,0.00396457724882,1858.12177808
0.464853801416,full:1.0,0.00392173373663,1858.25876438
0.465234627839,full:1.0,0.0038797529191,1858.39575068
0.465604152635,full:1.0,0.00383862762672,1858.53273699
0.46596226842,full:1.0,0.00379835048167,1858.66972329
0.466308869276,full:1.0,0.00375891390075,1858.80670959
0.466643850789,full:1.0,0.00372031009848,1858.94369589
0.466967110086,full:1.0,0.00368253109038,1859.08068219
0.467278545869,full:1.0,0.00364556869644,1859.21766849
0.467578058452,full:1.0,0.00360941454474,1859.35465479
0.467865549797,full:1.0,0.00357406007528,1859.4916411
0.468140923547,full:1.0,0.00353949654393,1859.6286274
0.468404085063,full:1.0,0.00350571502661,1859.7656137
0.468654941457,full:1.0,0.00347270642356,1859.9026
0.468893401625,full:1.0,0.00344046146386,1860.0395863
0.469119376283,full:1.0,0.00340897071,1860.1765726
0.469332777998,full:1.0,0.00337822456265,1860.3135589
0.469533521222,full:1.0,0.00334821326562,1860.45054521
0.469721522324,full:1.0,0.00331892691088,1860.58753151
0.469896699619,full:1.0,0.00329035544376,1860.72451781
0.470058973402,full:1.0,0.00326248866829,1860.86150411
0.470208265979,full:1.0,0.00323531625261,1860.99849041
0.470344501694,full:1.0,0.00320882773458,1861.13547671
0.470467606961,full:1.0,0.00318301252742,1861.27246301
0.470577510292,full:1.0,0.00315785992556,1861.40944932
0.470674142326,full:1.0,0.00313335911045,1861.54643562
0.470757435854,full:1.0,0.00310949915665,1861.68342192
0.47082732585,full:1.0,0.00308626903781,1861.82040822
0.470883749494,full:1.0,0.00306365763292,1861.95739452
0.4709266462,full:1.0,0.0030416537325,1862.09438082
0.470955957639,full:1.0,0.00302024604492,1862.23136712
0.470971627765,full:1.0,0.00299942320281,1862.36835342
0.470973602836,full:1.0,0.00297917376947,1862.50533973
0.470961831442,full:1.0,0.00295948624537,1862.64232603
0.470936264521,full:1.0,0.00294034907465,1862.77931233
0.470896855383,full:1.0,0.00292175065176,1862.91629863
0.470843559732,full:1.0,0.00290367932801,1863.05328493
0.470776335684,full:1.0,0.00288612341819,1863.19027123
0.470695143785,full:1.0,0.00286907120726,1863.32725753
0.470599947032,full:1.0,0.00285251095695,1863.46424384
0.470490710888,full:1.0,0.00283643091245,1863.60123014
0.470367403298,full:1.0,0.00282081930907,1863.73821644
0.470229994709,full:1.0,0.00280566437885,1863.87520274
0.470078458077,full:1.0,0.0027909543572,1864.01218904
0.469912768889,full:1.0,0.00277667748952,1864.14917534
0.469732905171,full:1.0,0.00276282203772,1864.28616164
